timestamp,rx_bytes,rx_packets,tx_bytes,tx_packets,min_latency,avg_latency,max_latency
2026-08-10T17:14:12.014297,166414,2055,93950,1119,0.084,0.179,0.486
2026-08-10T17:14:21.326196,166574,2057,94032,1120,0.105,0.147,0.176
2026-08-10T17:14:30.663478,166734,2059,94032,1120,0.067,0.108,0.164
2026-08-10T17:14:39.927019,166894,2061,94114,1121,0.093,0.125,0.201
2026-08-10T17:14:47.638492,167054,2063,94196,1122,0.083,0.139,0.222
