timestamp,rx_rate,tx_rate,packet_rate,min_latency,avg_latency,max_latency,latency
2026-08-10 17:14:21.326196,0.00013745853557904782,7.044749948426201e-05,0.10738948092113113,0.105,0.147,0.176,0.147
2026-08-10 17:14:30.663478,0.0001370848604551089,0.0,0.0,0.067,0.108,0.164,0.108
2026-08-10 17:14:39.927019,0.00013817610350081033,7.081525304416528e-05,0.10795008086000807,0.093,0.125,0.201,0.125
2026-08-10 17:14:47.638492,0.00016598644642858764,8.506805379465117e-05,0.1296769112723341,0.083,0.139,0.222,0.139
2026-09-06 08:33:36.201446,-5.545809947984167e-07,-2.988691998317589e-07,-0.0004453561934875219,0.087,0.132,0.166,0.132
2026-09-06 08:33:45.355884,7.16592323854288e-05,7.16592323854288e-05,0.10923663473388535,0.072,0.132,0.207,0.132
2026-09-06 08:33:54.537459,7.144743685043143e-05,7.144743685043143e-05,0.10891377568663328,0.053,0.11,0.158,0.11
2026-09-06 08:34:03.753345,7.11814360550901e-05,7.11814360550901e-05,0.10850828666934466,0.057,0.109,0.144,0.109
2026-09-06 08:34:12.937214,7.142959029576752e-05,7.142959029576752e-05,0.10888657057281632,0.08,0.137,0.175,0.137
2026-09-06 08:34:22.089581,7.16754474552867e-05,7.16754474552867e-05,0.10926135282818095,0.042,0.093,0.142,0.093
2026-09-06 08:34:31.274301,7.142297206664982e-05,7.142297206664982e-05,0.10887648180891742,0.082,0.12,0.183,0.12
2026-09-06 08:34:40.456841,7.143992838582788e-05,7.143992838582788e-05,0.10890232985644495,0.117,0.144,0.183,0.144
2026-09-06 08:34:49.639958,0.0,0.0,0.0,0.047,0.093,0.12,0.093
2026-09-06 08:34:58.822884,7.143692544184718e-05,7.143692544184718e-05,0.10889775219793778,0.059,0.096,0.126,0.096
2026-09-06 08:35:07.977519,7.165769033937453e-05,7.165769033937453e-05,0.10923428405392459,0.073,0.127,0.173,0.127
2026-09-06 08:39:13.674801,6.67488051414423e-05,6.67488051414423e-05,0.10175122734975961,0.05,0.111,0.155,0.111
2026-09-06 08:40:20.774895,6.843507551569152e-05,6.843507551569152e-05,0.10432176145684684,0.031,0.038,0.045,0.038
2026-09-06 08:40:29.894835,0.0,0.0,0.0,0.035,0.037,0.039,0.037
2026-09-06 08:40:39.046664,7.167966097268644e-05,7.167966097268644e-05,0.10926777587299763,0.043,0.051,0.058,0.051
2026-09-06 08:40:48.166633,7.193006906054177e-05,7.193006906054177e-05,0.10964949551911855,0.05,0.066,0.103,0.066
2026-09-06 08:40:57.318575,7.167877593629854e-05,7.167877593629854e-05,0.10926642673216241,0.045,0.052,0.067,0.052
2026-09-06 08:49:02.856161,6.735626848052089e-05,6.735626848052089e-05,0.1029786394332817,0.101,0.119,0.152,0.119
2026-09-06 08:49:12.045465,7.138734337225104e-05,7.138734337225104e-05,0.10882216977477294,0.047,35.52,47.614,35.52
2026-09-06 08:49:21.157298,7.199429576902912e-05,7.199429576902912e-05,0.10974740208693463,37.651,43.069,49.579,43.069
2026-09-06 08:49:30.249220,7.215196082852448e-05,7.215196082852448e-05,0.10998774516543366,39.259,44.347,51.898,44.347
2026-09-06 08:49:39.340897,0.0,0.0,0.0,34.433,42.992,50.416,42.992
2026-09-06 08:49:48.443248,7.206929286730428e-05,7.206929286730428e-05,0.10986172693186627,38.044,44.691,50.653,44.691
2026-09-06 08:49:57.550416,7.20311736864852e-05,7.20311736864852e-05,0.10980361842452012,36.316,43.839,49.769,43.839
2026-09-06 08:50:06.652672,7.207004505256718e-05,7.207004505256718e-05,0.10986287355574266,37.898,45.0,51.903,45.0
2026-09-06 08:54:30.470466,6.477396774836197,11846.712946193462,33329.35154480141,0.055,0.082,0.094,0.082
